training-example,training-instance-global,training-instance-local,token,label:thematic,label:token
0,0,0,START,START,START
0,1,1,She,subj:native-of,t:subj:IS_WOMAN
0,2,2,Nat,subj:native-of,t:rel:IS_NATIVE_OF
0,3,3,of,subj:native-of,t:rel:IS_NATIVE_OF
0,4,4,Ferrymount,subj:native-of,t:location:NAME
0,5,5,",",subj:native-of,t:DELIMITER
0,6,6,6,subj:native-of,t:location:DISTANCE
0,7,7,miles,subj:native-of,t:location:DISTANCE_UNIT
0,8,8,from,subj:native-of,t:location:FROM
0,9,9,Mt,subj:native-of,t:location:NAME
0,10,10,Mellick,subj:native-of,t:location:NAME
0,11,11,",",subj:native-of,t:location:NAME
0,12,12,Queens,subj:native-of,t:location:NAME
0,13,13,",",subj:native-of,t:location:NAME
0,14,14,Ire,subj:native-of,t:location:NAME
0,15,15,-,delimiter:thematic,delimiter:thematic
0,16,16,Arr,subj:emigration-event,t:emigration:ARRIVED
0,17,17,Jul,subj:emigration-event,t:time:MONTH
0,18,18,1844,subj:emigration-event,t:time:YEAR
0,19,19,per,subj:emigration-event,t:emigration:VIA
0,20,20,Fairfield,subj:emigration-event,t:emigration:VESSEL
0,21,21,from,subj:emigration-event,t:emigration:VESSEL_HAS_ORIGIN
0,22,22,LP,subj:emigration-event,t:location:NAME
0,23,23,-,delimiter:thematic,delimiter:thematic
0,24,24,Fa,fam:parents,t:person:FATHER
0,25,25,in,fam:parents,t:person:LOCATED_IN
0,26,26,Ire,fam:parents,t:location:NAME
0,27,27,John,fam:parents,t:person:NAME
0,28,28,Henry,fam:parents,t:person:NAME
0,29,29,",",fam:parents,t:DELIMITER
0,30,30,Mo,fam:parents,t:person:MOTHER
0,31,31,dead,fam:parents,t:person:IS_DEAD
0,32,32,Bridget,fam:parents,t:person:NAME
0,33,33,Fahy,fam:parents,t:person:NAME
0,34,34,",",delimiter:thematic,delimiter:thematic
0,35,35,4,fam:siblings,t:person:NUMBER
0,36,36,Bros,fam:siblings,t:person:BROTHERS
0,37,37,Pat,fam:siblings,t:person:NAME
0,38,38,,fam:siblings,t:person:NAME
0,39,39,k,fam:siblings,t:person:NAME
0,40,40,",",fam:siblings,t:DELIMITER
0,41,41,John,fam:siblings,t:person:NAME
0,42,42,&,fam:siblings,t:DELIMITER
0,43,43,James,fam:siblings,t:person:NAME
0,44,44,in,fam:siblings,t:person:LOCATED_IN
0,45,45,US,fam:siblings,t:location:NAME
0,46,46,",",fam:siblings,t:DELIMITER
0,47,47,Martin,fam:siblings,t:person:NAME
0,48,48,in,fam:siblings,t:person:LOCATED_IN
0,49,49,Ire,fam:siblings,t:location:NAME
0,50,50,",",fam:siblings,t:DELIMITER
0,51,51,3,fam:siblings,t:person:NUMBER
0,52,52,Sis,fam:siblings,t:person:SISTERS
0,53,53,Ellen,fam:siblings,t:person:NAME
0,54,54,",",fam:siblings,t:DELIMITER
0,55,55,Honora,fam:siblings,t:person:NAME
0,56,56,&,fam:siblings,t:DELIMITER
0,57,57,_,fam:siblings,t:BLANK
0,58,58,_,fam:siblings,t:BLANK
0,59,59,_,fam:siblings,t:BLANK
0,60,60,see,meta:record-reference,t:meta:SEE
0,61,61,3989,meta:record-reference,t:meta:ACCOUNT_NUMBER
0,62,62,END,END,END
1,63,0,START,START,START
1,64,1,No,meta:no-remarks,t:meta:NO_REMARKS
1,65,2,Remarks,meta:no-remarks,t:meta:NO_REMARKS
1,66,3,END,END,END
2,67,0,START,START,START
2,68,1,None,meta:no-remarks,t:meta:NO_REMARKS
2,69,2,-,delimiter:thematic,delimiter:thematic
2,70,3,see,meta:record-reference,t:meta:SEE
2,71,4,4,meta:record-reference,t:meta:ACCOUNT_NUMBER
2,72,5,",",meta:record-reference,t:DELIMITER
2,73,6,5,meta:record-reference,t:meta:ACCOUNT_NUMBER
2,74,7,",",meta:record-reference,t:DELIMITER
2,75,8,6,meta:record-reference,t:meta:ACCOUNT_NUMBER
2,76,9,",",meta:record-reference,t:DELIMITER
2,77,10,2471,meta:record-reference,t:meta:ACCOUNT_NUMBER
2,78,11,END,END,END
3,79,0,START,START,START
3,80,1,Theobald,subj:name,t:person:NAME
3,81,2,M,subj:name,t:person:NAME
3,82,3,Ryan,subj:name,t:person:NAME
3,83,4,-,delimiter:thematic,delimiter:thematic
3,84,5,see,meta:record-reference,t:meta:SEE
3,85,6,3,meta:record-reference,t:meta:ACCOUNT_NUMBER
3,86,7,",",meta:record-reference,t:DELIMITER
3,87,8,5,meta:record-reference,t:meta:ACCOUNT_NUMBER
3,88,9,",",meta:record-reference,t:DELIMITER
3,89,10,6,meta:record-reference,t:meta:ACCOUNT_NUMBER
3,90,11,",",meta:record-reference,t:DELIMITER
3,91,12,2471,meta:record-reference,t:meta:ACCOUNT_NUMBER
3,92,13,END,END,END
4,93,0,START,START,START
4,94,1,Erina,subj:name,t:person:NAME
4,95,2,W,subj:name,t:person:NAME
4,96,3,Ryan,subj:name,t:person:NAME
4,97,4,-,delimiter:thematic,delimiter:thematic
4,98,5,see,meta:record-reference,t:meta:SEE
4,99,6,3,meta:record-reference,t:meta:ACCOUNT_NUMBER
4,100,7,",",meta:record-reference,t:DELIMITER
4,101,8,4,meta:record-reference,t:meta:ACCOUNT_NUMBER
4,102,9,",",meta:record-reference,t:DELIMITER
4,103,10,6,meta:record-reference,t:meta:ACCOUNT_NUMBER
4,104,11,",",meta:record-reference,t:DELIMITER
4,105,12,2471,meta:record-reference,t:meta:ACCOUNT_NUMBER
4,106,13,END,END,END
5,107,0,START,START,START
5,108,1,Mary,subj:name,t:person:NAME
5,109,2,A,subj:name,t:person:NAME
5,110,3,Ryan,subj:name,t:person:NAME
5,111,4,-,delimiter:thematic,delimiter:thematic
5,112,5,see,meta:record-reference,t:meta:SEE
5,113,6,3,meta:record-reference,t:meta:ACCOUNT_NUMBER
5,114,7,",",meta:record-reference,t:DELIMITER
5,115,8,4,meta:record-reference,t:meta:ACCOUNT_NUMBER
5,116,9,",",meta:record-reference,t:DELIMITER
5,117,10,5,meta:record-reference,t:meta:ACCOUNT_NUMBER
5,118,11,",",meta:record-reference,t:DELIMITER
5,119,12,2471,meta:record-reference,t:meta:ACCOUNT_NUMBER
5,120,13,END,END,END
6,121,0,START,START,START
6,122,1,No,meta:no-remarks,t:meta:NO_REMARKS
6,123,2,Remarks,meta:no-remarks,t:meta:NO_REMARKS
6,124,3,END,END,END
7,125,0,START,START,START
7,126,1,Cornelia,subj:name,t:person:NAME
7,127,2,Cagney,subj:name,t:person:NAME
7,128,3,END,END,END
8,129,0,START,START,START
8,130,1,No,meta:no-remarks,t:meta:NO_REMARKS
8,131,2,Remarks,meta:no-remarks,t:meta:NO_REMARKS
8,132,3,END,END,END
9,133,0,START,START,START
9,134,1,Native,subj:native-of,t:rel:IS_NATIVE_OF
9,135,2,of,subj:native-of,t:rel:IS_NATIVE_OF
9,136,3,Cormack,subj:native-of,t:location:NAME
9,137,4,",",subj:native-of,t:DELIMITER
9,138,5,7mi,subj:native-of,t:location:DISTANCE
9,139,6,from,subj:native-of,t:location:FROM
9,140,7,Loughrea,subj:native-of,t:location:NAME
9,141,8,",",subj:native-of,t:location:NAME
9,142,9,Co,subj:native-of,t:location:NAME
9,143,10,Galway,subj:native-of,t:location:NAME
9,144,11,Ire,subj:native-of,t:location:NAME
9,145,12,-,delimiter:thematic,delimiter:thematic
9,146,13,Arr,subj:emigration-event,t:emigration:ARRIVED
9,147,14,NY,subj:emigration-event,t:location:NAME
9,148,15,May,subj:emigration-event,t:time:MONTH
9,149,16,7,subj:emigration-event,t:time:DATE
9,150,17,per,subj:emigration-event,t:emigration:VIA
9,151,18,the,subj:emigration-event,t:emigration:VIA
9,152,19,ship,subj:emigration-event,t:emigration:VIA
9,153,20,Howard,subj:emigration-event,t:emigration:VESSEL
9,154,21,from,subj:emigration-event,t:emigration:VESSEL_HAS_ORIGIN
9,155,22,L,subj:emigration-event,t:location:NAME
9,156,23,,subj:emigration-event,t:location:NAME
9,157,24,Pool,subj:emigration-event,t:location:NAME
9,158,25,-,delimiter:thematic,delimiter:thematic
9,159,26,Parents,fam:parents,t:person:PARENTS
9,160,27,Dead,fam:parents,t:person:IS_DEAD
9,161,28,",",fam:parents,t:DELIMITER
9,162,29,Fa,fam:parents,t:person:FATHER
9,163,30,Owen,fam:parents,t:person:NAME
9,164,31,-,fam:parents,t:DELIMITER
9,165,32,Mo,fam:parents,t:person:MOTHER
9,166,33,Mary,fam:parents,t:person:NAME
9,167,34,Quill,fam:parents,t:person:NAME
9,168,35,",",delimiter:thematic,delimiter:thematic
9,169,36,2,fam:siblings,t:person:NUMBER
9,170,37,Sisters,fam:siblings,t:person:SISTERS
9,171,38,Marg,fam:siblings,t:person:NAME
9,172,39,in,fam:siblings,t:person:LOCATED_IN
9,173,40,NY,fam:siblings,t:location:NAME
9,174,41,-,fam:siblings,t:DELIMITER
9,175,42,Bridget,fam:siblings,t:person:NAME
9,176,43,in,fam:siblings,t:person:LOCATED_IN
9,177,44,Ire,fam:siblings,t:location:NAME
9,178,45,-,delimiter:thematic,delimiter:thematic
9,179,46,Is,subj:marital-status,t:person:IS_SINGLE
9,180,47,Single,subj:marital-status,t:person:IS_SINGLE
9,181,48,END,END,END
10,182,0,START,START,START
10,183,1,No,meta:no-remarks,t:meta:NO_REMARKS
10,184,2,Remarks,meta:no-remarks,t:meta:NO_REMARKS
10,185,3,END,END,END
11,186,0,START,START,START
11,187,1,Thomas,subj:name,t:person:NAME
11,188,2,Ball,subj:name,t:person:NAME
11,189,3,END,END,END
12,190,0,START,START,START
12,191,1,Margaret,subj:name,t:person:NAME
12,192,2,Monfort,subj:name,t:person:NAME
12,193,3,END,END,END
13,194,0,START,START,START
13,195,1,Mary,subj:name,t:person:NAME
13,196,2,Devin,subj:name,t:person:NAME
13,197,3,END,END,END
14,198,0,START,START,START
